statement,implicit_need
"Anyone take mental health days from work?. Do you use vacation, PTO, sick, FMLA?",need to prioritize well-being
"Anyone take mental health days from work?. Do you use vacation, PTO, sick, FMLA?",need to maintain job security
"Anyone take mental health days from work?. Do you use vacation, PTO, sick, FMLA?",need to not compromise work performance
"Depression shower thought. Common saying out there that suicide is selfish, but what a lot of non-suicidal people don't understand is that people who are suicidal know that the people around them will have better lives if they were not in it and know that being alive is selfish.",need to be heard
"Depression shower thought. Common saying out there that suicide is selfish, but what a lot of non-suicidal people don't understand is that people who are suicidal know that the people around them will have better lives if they were not in it and know that being alive is selfish.",need for understanding
"Depression shower thought. Common saying out there that suicide is selfish, but what a lot of non-suicidal people don't understand is that people who are suicidal know that the people around them will have better lives if they were not in it and know that being alive is selfish.",need to be understood
"Sometimes I wonder why I even try. I've never really overcome depression, because it always comes back worse than before. This is the worst I've ever had; I can't go more than 5 minutes without thinking about suicide.",need to overcome depression
"Sometimes I wonder why I even try. I've never really overcome depression, because it always comes back worse than before. This is the worst I've ever had; I can't go more than 5 minutes without thinking about suicide.",need to not feel overwhelmed
"Sometimes I wonder why I even try. I've never really overcome depression, because it always comes back worse than before. This is the worst I've ever had; I can't go more than 5 minutes without thinking about suicide.",need for constant support
"I have been a Freshmen for 3, 1/2 years. I don't even blame my depression , I am just dumb. I was at community college for three years and now I am on academic probation in a university, this is my second semester here and I only have twelve credits to my name. I am trying , I really am but it's just hard and hopeless. The other day my parents told me we made room for your future degree , next to your siblings degrees! I am twenty-two years old going on twenty-three. I don't know what to do.",need to not disappoint family
"I have been a Freshmen for 3, 1/2 years. I don't even blame my depression , I am just dumb. I was at community college for three years and now I am on academic probation in a university, this is my second semester here and I only have twelve credits to my name. I am trying , I really am but it's just hard and hopeless. The other day my parents told me we made room for your future degree , next to your siblings degrees! I am twenty-two years old going on twenty-three. I don't know what to do.",need to save my academic reputation
"I have been a Freshmen for 3, 1/2 years. I don't even blame my depression , I am just dumb. I was at community college for three years and now I am on academic probation in a university, this is my second semester here and I only have twelve credits to my name. I am trying , I really am but it's just hard and hopeless. The other day my parents told me we made room for your future degree , next to your siblings degrees! I am twenty-two years old going on twenty-three. I don't know what to do.",need to be heard by parents
Its silly how out of the blue it can hit you and ruin everything you built mentally up to that point.. especially during the ACT. fuck me.,need to not feel failure
Its silly how out of the blue it can hit you and ruin everything you built mentally up to that point.. especially during the ACT. fuck me.,need to release emotions
Its silly how out of the blue it can hit you and ruin everything you built mentally up to that point.. especially during the ACT. fuck me.,need to be heard
It’s like I’m driving with no driving wheel. And just wishing for the car to hit a wall,need to be in control
It’s like I’m driving with no driving wheel. And just wishing for the car to hit a wall,need to have some direction
It’s like I’m driving with no driving wheel. And just wishing for the car to hit a wall,need to end this
Your entire reason for existing explained in one word.. Work. . . That's about it.,need to be taken seriously
Your entire reason for existing explained in one word.. Work. . . That's about it.,need to not feel like a failure
Your entire reason for existing explained in one word.. Work. . . That's about it.,need to be understood
"Getting out of your situation or not is a choice.. Paraphrasing what a former friend used to say. Splendid, I felt so enlightened I could cry tears of joy.",need not to disappoint family
"Getting out of your situation or not is a choice.. Paraphrasing what a former friend used to say. Splendid, I felt so enlightened I could cry tears of joy.",need to get out
"Getting out of your situation or not is a choice.. Paraphrasing what a former friend used to say. Splendid, I felt so enlightened I could cry tears of joy.",need to not cry
Anyone feel numb/epmpty. I don't really know of its depression but I figured you guys could help. I have this number feeling where I just don't feel emotions other then sad or angry I just feel empty. Like I'm just a shell with nothing inside just going through life. I don't really know what to do with myself I don't want to kill myself because it would hurt the people I care about most but at the same time I can't feel anything other then everything suck why am I here. It's really tough to even get out of bed in the morning all I want to do is cry. Does anyone have any ideas on coping with this numb/empty feeling because nothing makes me happy.,need to feel heard and understood
Anyone feel numb/epmpty. I don't really know of its depression but I figured you guys could help. I have this number feeling where I just don't feel emotions other then sad or angry I just feel empty. Like I'm just a shell with nothing inside just going through life. I don't really know what to do with myself I don't want to kill myself because it would hurt the people I care about most but at the same time I can't feel anything other then everything suck why am I here. It's really tough to even get out of bed in the morning all I want to do is cry. Does anyone have any ideas on coping with this numb/empty feeling because nothing makes me happy.,need to cope with empty feelings
Anyone feel numb/epmpty. I don't really know of its depression but I figured you guys could help. I have this number feeling where I just don't feel emotions other then sad or angry I just feel empty. Like I'm just a shell with nothing inside just going through life. I don't really know what to do with myself I don't want to kill myself because it would hurt the people I care about most but at the same time I can't feel anything other then everything suck why am I here. It's really tough to even get out of bed in the morning all I want to do is cry. Does anyone have any ideas on coping with this numb/empty feeling because nothing makes me happy.,need to find a way to be happy again
"Today is my birthday. I should be happy and shit, but I'm just empty. Does this happen to you, when you should be happy but your just empty? This sucks. Want this shit to end",need to not feel disappointed
"Today is my birthday. I should be happy and shit, but I'm just empty. Does this happen to you, when you should be happy but your just empty? This sucks. Want this shit to end",need for emotional release
"Today is my birthday. I should be happy and shit, but I'm just empty. Does this happen to you, when you should be happy but your just empty? This sucks. Want this shit to end",need to be heard
Idk. It's 5 am and everything is hitting at once,need to get some rest
Idk. It's 5 am and everything is hitting at once,need for things to slow down
Idk. It's 5 am and everything is hitting at once,need to feel more in control
"Do any of you guys feel like me?. For some background, I'm 18 and in my freshman year of university. For a couple months now I've just been feeling sorta weird. It's like a long funk. I don't know how to describe it. If I had to choose, I'd say I feel empty or indifferent. I'm still able to laugh and find things funny, but a lot of the time I just feel like a machine, doing things because I have to. My motivation is minimal. A part of me is just not transitioning very well from high school to university. I don't like it here and I don't know how to describe it, either. Maybe out of place? Not fitting in? The environment here is just cold. I've been looking forward to sleeping more lately, but I dunno if that's just my exhaustion from late night studying/work or something else. I think I failed my chemistry exam and the course and it doesn't really phase me. I don't know what's wrong. Am I depressed? Do you guys feel similarly?",need to belong in university
"Do any of you guys feel like me?. For some background, I'm 18 and in my freshman year of university. For a couple months now I've just been feeling sorta weird. It's like a long funk. I don't know how to describe it. If I had to choose, I'd say I feel empty or indifferent. I'm still able to laugh and find things funny, but a lot of the time I just feel like a machine, doing things because I have to. My motivation is minimal. A part of me is just not transitioning very well from high school to university. I don't like it here and I don't know how to describe it, either. Maybe out of place? Not fitting in? The environment here is just cold. I've been looking forward to sleeping more lately, but I dunno if that's just my exhaustion from late night studying/work or something else. I think I failed my chemistry exam and the course and it doesn't really phase me. I don't know what's wrong. Am I depressed? Do you guys feel similarly?",need for emotional acceptance from peers
"Do any of you guys feel like me?. For some background, I'm 18 and in my freshman year of university. For a couple months now I've just been feeling sorta weird. It's like a long funk. I don't know how to describe it. If I had to choose, I'd say I feel empty or indifferent. I'm still able to laugh and find things funny, but a lot of the time I just feel like a machine, doing things because I have to. My motivation is minimal. A part of me is just not transitioning very well from high school to university. I don't like it here and I don't know how to describe it, either. Maybe out of place? Not fitting in? The environment here is just cold. I've been looking forward to sleeping more lately, but I dunno if that's just my exhaustion from late night studying/work or something else. I think I failed my chemistry exam and the course and it doesn't really phase me. I don't know what's wrong. Am I depressed? Do you guys feel similarly?",need to cope with academic pressures
"I'm curious about how anti-depressants have affected you. I've been dealing with depression since I was 12 (I'm nearly 19 now) and in the past, my doctor recommended anti-depressants. I was hesitant because I've had friends say it essentially makes you feel like an emotionless robot, so I ended up declining that option entirely. I feel like my depression has only gotten worse and worse and am now looking to meds as a last resort. To anyone currently/previously on anti-depressants, could you tell me how it's affected you both mentally and physically? Thank you all &lt;3",need to manage depression
"I'm curious about how anti-depressants have affected you. I've been dealing with depression since I was 12 (I'm nearly 19 now) and in the past, my doctor recommended anti-depressants. I was hesitant because I've had friends say it essentially makes you feel like an emotionless robot, so I ended up declining that option entirely. I feel like my depression has only gotten worse and worse and am now looking to meds as a last resort. To anyone currently/previously on anti-depressants, could you tell me how it's affected you both mentally and physically? Thank you all &lt;3",need to explore medication options as a last resort
"I'm curious about how anti-depressants have affected you. I've been dealing with depression since I was 12 (I'm nearly 19 now) and in the past, my doctor recommended anti-depressants. I was hesitant because I've had friends say it essentially makes you feel like an emotionless robot, so I ended up declining that option entirely. I feel like my depression has only gotten worse and worse and am now looking to meds as a last resort. To anyone currently/previously on anti-depressants, could you tell me how it's affected you both mentally and physically? Thank you all &lt;3",need to share experiences with others
I've had depression since I was 8 years old and I am now 21 years old with no recovery.. This makes me incredibly scared of my future...,need to recover from depression
I've had depression since I was 8 years old and I am now 21 years old with no recovery.. This makes me incredibly scared of my future...,need to feel secure about the future
I've had depression since I was 8 years old and I am now 21 years old with no recovery.. This makes me incredibly scared of my future...,need to find purpose
Does anyone else feel normal late at night?. I find myself depressed mostly morning-evening. However I feel content and relaxed late at night,need to not be judged
Does anyone else feel normal late at night?. I find myself depressed mostly morning-evening. However I feel content and relaxed late at night,need to have a sense of normalcy
Does anyone else feel normal late at night?. I find myself depressed mostly morning-evening. However I feel content and relaxed late at night,need to cope with depression
"Feeling dead inside. For the last 1-2 weeks feeling nothing inside, like most of the other people, dont know what to do. Thoughts in the middle of the night well, i might die, i dont have what to live for. Literally void of nothing, black space.",need to feel alive inside
"Feeling dead inside. For the last 1-2 weeks feeling nothing inside, like most of the other people, dont know what to do. Thoughts in the middle of the night well, i might die, i dont have what to live for. Literally void of nothing, black space.",need to overcome emotional emptiness
"Feeling dead inside. For the last 1-2 weeks feeling nothing inside, like most of the other people, dont know what to do. Thoughts in the middle of the night well, i might die, i dont have what to live for. Literally void of nothing, black space.",need to find purpose
The 20's. Are the 20's supposed to suck this bad. I want to fast forward to when my life gets better. Kind of like a click remote.,need to get ahead
The 20's. Are the 20's supposed to suck this bad. I want to fast forward to when my life gets better. Kind of like a click remote.,need to not be stuck
The 20's. Are the 20's supposed to suck this bad. I want to fast forward to when my life gets better. Kind of like a click remote.,need to feel in control
Feel so lonely and hopeless... My mind even clear enough to articulate my thoughts to write here clearly. I just feel so lonely and want to die.,Need to be heard and understood
Feel so lonely and hopeless... My mind even clear enough to articulate my thoughts to write here clearly. I just feel so lonely and want to die.,Need for sense of belonging with others
Feel so lonely and hopeless... My mind even clear enough to articulate my thoughts to write here clearly. I just feel so lonely and want to die.,Need to express thoughts and feelings
"Lonely in a crowd. I'm hanging here at a party of about 75 drinking, and I feel completely alone.",need to be seen and recognized
"Lonely in a crowd. I'm hanging here at a party of about 75 drinking, and I feel completely alone.",need to connect with others at this party
"Lonely in a crowd. I'm hanging here at a party of about 75 drinking, and I feel completely alone.",need to not feel so invisible
I don't why but I just cut myself out of sheer boredom. I don't know why this happens and how to stop.,need not be bored
I don't why but I just cut myself out of sheer boredom. I don't know why this happens and how to stop.,need to understand self-cutting
I don't why but I just cut myself out of sheer boredom. I don't know why this happens and how to stop.,need to stop self-cutting
no friends for 10 years. no gf. ugly. wtf do i do?. I'm a 24 year old old man.,need to have a romantic partner
no friends for 10 years. no gf. ugly. wtf do i do?. I'm a 24 year old old man.,need to feel heard and understood
no friends for 10 years. no gf. ugly. wtf do i do?. I'm a 24 year old old man.,need to not be alone for so long
"despite being on medication, the depression is coming back. it worked so well, i thought finally i can feel normal again well that were some nice 2 months but now im feeling like shit again have some side effects as well and in about 1 month ill see my psychiatrist again lets see if i can survive till then",need to not feel like shit
"despite being on medication, the depression is coming back. it worked so well, i thought finally i can feel normal again well that were some nice 2 months but now im feeling like shit again have some side effects as well and in about 1 month ill see my psychiatrist again lets see if i can survive till then",need to be able to survive until next appointment
"despite being on medication, the depression is coming back. it worked so well, i thought finally i can feel normal again well that were some nice 2 months but now im feeling like shit again have some side effects as well and in about 1 month ill see my psychiatrist again lets see if i can survive till then",need to get through next month
"I wish i had cancer. So my family was helping me, instead of judging",need to be helped and supported by family
"I wish i had cancer. So my family was helping me, instead of judging",need for others to understand my situation
"I wish i had cancer. So my family was helping me, instead of judging",need to not feel judged
"Depressed.... I've faced the biggest betrayal ever, and I am depressed as shit. Any thoughts?",need to be heard
"Depressed.... I've faced the biggest betrayal ever, and I am depressed as shit. Any thoughts?",need for validation
"Depressed.... I've faced the biggest betrayal ever, and I am depressed as shit. Any thoughts?",need to escape
I can't stop comparing myself to everyone else. I don't even know who I am anymore--just who I am not. This past week was really rough...,need to stop comparing myself
I can't stop comparing myself to everyone else. I don't even know who I am anymore--just who I am not. This past week was really rough...,need to find out who I am
I can't stop comparing myself to everyone else. I don't even know who I am anymore--just who I am not. This past week was really rough...,need to feel good again
".... Feeling hopeless and useless at the moment... Empty, lost, darkness",need to find a sense of direction
".... Feeling hopeless and useless at the moment... Empty, lost, darkness",need to feel useful
".... Feeling hopeless and useless at the moment... Empty, lost, darkness",need to get out of this feeling
"Can’t sleep, Any techniques to suppress my depressive thoughts about my future and fall a sleep?. I just sleep more then 3 hours Please help me",need to not worry about the future
"Can’t sleep, Any techniques to suppress my depressive thoughts about my future and fall a sleep?. I just sleep more then 3 hours Please help me",need for reassurance
"Can’t sleep, Any techniques to suppress my depressive thoughts about my future and fall a sleep?. I just sleep more then 3 hours Please help me",need to sleep well
Living in the past .... How to be more present..,need to let go of past memories
Living in the past .... How to be more present..,need to feel grounded in the present
Living in the past .... How to be more present..,need to not get stuck on what was
Anyone else use to be smart and then after years of being idol you became stupid. Happened to me. awful. I think from constantly disengaging myself,need to be valued and respected
Anyone else use to be smart and then after years of being idol you became stupid. Happened to me. awful. I think from constantly disengaging myself,need for self-discovery through sharing experiences
Anyone else use to be smart and then after years of being idol you became stupid. Happened to me. awful. I think from constantly disengaging myself,need to not feel belittled
"That feeling when you look at the dental bill.... ...and could scream in agony, realizing no one but yourself is to blame for abusing you by neglecting your teeth, including expensive previous dental work that's now gone to hell. Depression carries some very heavy lessons.",need to not feel ashamed of past neglect
"That feeling when you look at the dental bill.... ...and could scream in agony, realizing no one but yourself is to blame for abusing you by neglecting your teeth, including expensive previous dental work that's now gone to hell. Depression carries some very heavy lessons.",need to recognize own responsibility in health
"That feeling when you look at the dental bill.... ...and could scream in agony, realizing no one but yourself is to blame for abusing you by neglecting your teeth, including expensive previous dental work that's now gone to hell. Depression carries some very heavy lessons.",need to release pent-up emotions
I don't really want my depression to go away.. Its a part of me even though it keeps me from doing anything it also makes me me. Suicidal thoughts are a large part of my personality.,need to not be ashamed
I don't really want my depression to go away.. Its a part of me even though it keeps me from doing anything it also makes me me. Suicidal thoughts are a large part of my personality.,need for some control over depression
I don't really want my depression to go away.. Its a part of me even though it keeps me from doing anything it also makes me me. Suicidal thoughts are a large part of my personality.,need to accept the darkness
Had to promise not to kill myself. Dont think i can keep it.. My therapist made me promise to not kill myself but i cant keep suffering,need to keep suffering
Had to promise not to kill myself. Dont think i can keep it.. My therapist made me promise to not kill myself but i cant keep suffering,need to not disappoint family
Had to promise not to kill myself. Dont think i can keep it.. My therapist made me promise to not kill myself but i cant keep suffering,need to maintain therapist's expectations
Sister is depressed how can I help?. My sister is 4 years older than me. She has been depressed for at least 4 weeks maybe longer. We don't live in the same city. Based on your personal experience what kinds of things do you like to hear from a loved one? That makes you feel better?,need to not make her worse
Sister is depressed how can I help?. My sister is 4 years older than me. She has been depressed for at least 4 weeks maybe longer. We don't live in the same city. Based on your personal experience what kinds of things do you like to hear from a loved one? That makes you feel better?,need to support sister's mental health
Sister is depressed how can I help?. My sister is 4 years older than me. She has been depressed for at least 4 weeks maybe longer. We don't live in the same city. Based on your personal experience what kinds of things do you like to hear from a loved one? That makes you feel better?,need to communicate effectively
"Depression and addiction. i have been suffering from depression from when i was 13. I am 19. I don't have any friends. If i die right now, no one will notice. I am adicted to heroin cocaine and methadone. I need help or I may die. &amp;#x200B;",need to get help from somewhere
"Depression and addiction. i have been suffering from depression from when i was 13. I am 19. I don't have any friends. If i die right now, no one will notice. I am adicted to heroin cocaine and methadone. I need help or I may die. &amp;#x200B;",need to not be judged by others
"Depression and addiction. i have been suffering from depression from when i was 13. I am 19. I don't have any friends. If i die right now, no one will notice. I am adicted to heroin cocaine and methadone. I need help or I may die. &amp;#x200B;",need to have a life free of addiction
Not going to kill myself but I really want to die. What is the point?? Everything is shit anyway?? I really didn't ask to be born and then my parents put this life responsibility on me. Anybody else feel like this?,need not to disappoint family
Not going to kill myself but I really want to die. What is the point?? Everything is shit anyway?? I really didn't ask to be born and then my parents put this life responsibility on me. Anybody else feel like this?,need for self-expression
Not going to kill myself but I really want to die. What is the point?? Everything is shit anyway?? I really didn't ask to be born and then my parents put this life responsibility on me. Anybody else feel like this?,need for recognition
"Talking to people doesn't help. No matter how much I vent, nothing actually helps me and I still feel the same.",need to be heard
"Talking to people doesn't help. No matter how much I vent, nothing actually helps me and I still feel the same.",need to find a solution
"Talking to people doesn't help. No matter how much I vent, nothing actually helps me and I still feel the same.",need to release frustration
I hate going to sleep knowing I’ll wake up in the morning.. I wish just end already.,need to not struggle with insomnia
Any good literature or media about depression?. PLS help I haven't read anything in years and I feel like something that can I can either relate or help me through this will help me out of this rut,need to connect with others who have been depressed
Any good literature or media about depression?. PLS help I haven't read anything in years and I feel like something that can I can either relate or help me through this will help me out of this rut,need to find a story that resonates with my own experience
Any good literature or media about depression?. PLS help I haven't read anything in years and I feel like something that can I can either relate or help me through this will help me out of this rut,need to receive help and support
depression is an endless fucking cycle. you're depressed so you do stupid shit. you make your life worse. and you get more depressed. cycle continues,need to not feel ashamed of depression
depression is an endless fucking cycle. you're depressed so you do stupid shit. you make your life worse. and you get more depressed. cycle continues,need for self-acceptance
depression is an endless fucking cycle. you're depressed so you do stupid shit. you make your life worse. and you get more depressed. cycle continues,need to break the cycle
"3rd week im skipping school. Kill myself&gt;going to school, I wish I had drugs now...",need to not feel like a failure
"3rd week im skipping school. Kill myself&gt;going to school, I wish I had drugs now...",need to be able to cope with emotional pain
"3rd week im skipping school. Kill myself&gt;going to school, I wish I had drugs now...",need to fit in
"What do you call someone,. who has the solution in their hands, ready to use instantaneously, and yet doesn't do it and chooses to continue whining about their life?",need to take responsibility
"What do you call someone,. who has the solution in their hands, ready to use instantaneously, and yet doesn't do it and chooses to continue whining about their life?",need for more effort
"What do you call someone,. who has the solution in their hands, ready to use instantaneously, and yet doesn't do it and chooses to continue whining about their life?",need for recognition
Happiness is hard to come by.. I don't know how to be happy... it seems like there's always something lingering that wants to put me down.,need to not feel overwhelmed
Happiness is hard to come by.. I don't know how to be happy... it seems like there's always something lingering that wants to put me down.,need for constant validation
Happiness is hard to come by.. I don't know how to be happy... it seems like there's always something lingering that wants to put me down.,need to be good enough
"I don't want a partner or even just friends because I want the freedom to kill myself, with the least number of people affected.. This way, it's only my parents and siblings who will be saddened.",need to not disappoint family
"I don't want a partner or even just friends because I want the freedom to kill myself, with the least number of people affected.. This way, it's only my parents and siblings who will be saddened.",need to minimize emotional impact on others
Trust is a curious little thing.... We take it for granted... until we eventually realise: it's a concept that doesn't actually exist.,need to be taken seriously
Trust is a curious little thing.... We take it for granted... until we eventually realise: it's a concept that doesn't actually exist.,need for others to have faith in the relationship
Trust is a curious little thing.... We take it for granted... until we eventually realise: it's a concept that doesn't actually exist.,need to not feel foolish
I feel like drunk me is the person I'd be without depression. With drunk me I mean being drunk and on xanax,need to not disappoint family
I feel like drunk me is the person I'd be without depression. With drunk me I mean being drunk and on xanax,need for emotional release
I feel like drunk me is the person I'd be without depression. With drunk me I mean being drunk and on xanax,need to feel heard in the group
I want to die. I fucking hate myself and my miserable existence. I'm a shitty excuse of a human being. I can't even kill myself properly but that probably won't stop me from trying again soon.,need to not be a failure
I want to die. I fucking hate myself and my miserable existence. I'm a shitty excuse of a human being. I can't even kill myself properly but that probably won't stop me from trying again soon.,need for self-care
I want to die. I fucking hate myself and my miserable existence. I'm a shitty excuse of a human being. I can't even kill myself properly but that probably won't stop me from trying again soon.,need to escape
how do people deal with deprrssion. I got depression recently. Iv4 never had it before. Some days I wanna end my life and some days i am happy. How do people overcome this,need to be heard and understood
how do people deal with deprrssion. I got depression recently. Iv4 never had it before. Some days I wanna end my life and some days i am happy. How do people overcome this,need for support in overcoming depression
how do people deal with deprrssion. I got depression recently. Iv4 never had it before. Some days I wanna end my life and some days i am happy. How do people overcome this,need to find ways to cope with mixed emotions
Does anyone else have a hard time getting motivated to exercise?. I find exercise almost unbearable w/ depression.,need to not feel like others understand my struggles with depression
Does anyone else have a hard time getting motivated to exercise?. I find exercise almost unbearable w/ depression.,need for exercise to be a source of joy and connection
Does anyone else have a hard time getting motivated to exercise?. I find exercise almost unbearable w/ depression.,need to have a sense of accomplishment
Does abstaining from masturbation cures depression?. At least for some people?,need to know the truth about oneself
Does abstaining from masturbation cures depression?. At least for some people?,need to feel a sense of relief
Does abstaining from masturbation cures depression?. At least for some people?,need to discuss sensitive topics
I've been laying in bed for 2 hours. I've been laying in the dark with my eyes closed for 2 hours and still can't fall asleep. I have to be up early for classes too. This sucks. I just want to sleep but my heart is pounding and i can't stop thinking. It feels like I'm wide awake.,need to fall asleep
I've been laying in bed for 2 hours. I've been laying in the dark with my eyes closed for 2 hours and still can't fall asleep. I have to be up early for classes too. This sucks. I just want to sleep but my heart is pounding and i can't stop thinking. It feels like I'm wide awake.,need not to feel anxious
I've been laying in bed for 2 hours. I've been laying in the dark with my eyes closed for 2 hours and still can't fall asleep. I have to be up early for classes too. This sucks. I just want to sleep but my heart is pounding and i can't stop thinking. It feels like I'm wide awake.,need to be able to focus in classes
Sometimes I know that I am doing something that will make my depression worse but I just can't stop!. Over eating not making plans with friends ETC ETC,need to cope with emotions
Sometimes I know that I am doing something that will make my depression worse but I just can't stop!. Over eating not making plans with friends ETC ETC,need for social connection
Sometimes I know that I am doing something that will make my depression worse but I just can't stop!. Over eating not making plans with friends ETC ETC,need to manage mental health
I can't keep going.. It's getting very hard just to put up a fight.,need to keep going
I can't keep going.. It's getting very hard just to put up a fight.,need to not get overwhelmed
I can't keep going.. It's getting very hard just to put up a fight.,need to maintain energy
"Hang myself so much I've moved up to face cutting. There are times where I would like to smash a wine glad into my face, or fantasise about having my head smashed in. Today I started cutting my face.",need to release emotional pain
"Hang myself so much I've moved up to face cutting. There are times where I would like to smash a wine glad into my face, or fantasise about having my head smashed in. Today I started cutting my face.",need for physical relief
"Hang myself so much I've moved up to face cutting. There are times where I would like to smash a wine glad into my face, or fantasise about having my head smashed in. Today I started cutting my face.",need to express anger
Sometimes it difficult to ask for help. What is worse most people won't be willing to help.,need to not feel ashamed of asking help
Sometimes it difficult to ask for help. What is worse most people won't be willing to help.,need to trust others' willingness to assist
Sometimes it difficult to ask for help. What is worse most people won't be willing to help.,need to find the right balance between seeking help and self-reliance
"Life is unbearable, what can I do?. I'm stuck in a prison. don't know.",need to escape from current situation
"Life is unbearable, what can I do?. I'm stuck in a prison. don't know.",need for freedom and autonomy
"Life is unbearable, what can I do?. I'm stuck in a prison. don't know.",need to be heard
I don't want to be here anymore.. Currently debating whether or not to end it. Im so lonely and lost.,need to leave a place
I don't want to be here anymore.. Currently debating whether or not to end it. Im so lonely and lost.,need to feel heard in the group
I don't want to be here anymore.. Currently debating whether or not to end it. Im so lonely and lost.,need to find sense of direction
"Anyone tried ketamine infusions for depression?. Considering trying this treatment for depression, anyone already tried it?",need to try new approach
"Anyone tried ketamine infusions for depression?. Considering trying this treatment for depression, anyone already tried it?",need to not be stuck in depression
"Anyone tried ketamine infusions for depression?. Considering trying this treatment for depression, anyone already tried it?",need to find effective treatment
I wish I could be drunk 24/7. I hate myself and my life. Nothing is enjoyable for me anymore sober.,need to escape pain
I wish I could be drunk 24/7. I hate myself and my life. Nothing is enjoyable for me anymore sober.,need to feel numb
I wish I could be drunk 24/7. I hate myself and my life. Nothing is enjoyable for me anymore sober.,need to not be so self-critical
"Gym anxiety.. I've heard that exercising regularly helps deal with depression. But, I feel too anxious to go to the gym to exercise. Any tips on how I can deal with this?",need to not disappoint family
"Gym anxiety.. I've heard that exercising regularly helps deal with depression. But, I feel too anxious to go to the gym to exercise. Any tips on how I can deal with this?",need to find a way out of anxiety
"Gym anxiety.. I've heard that exercising regularly helps deal with depression. But, I feel too anxious to go to the gym to exercise. Any tips on how I can deal with this?",need for validation
"I spent today either staring blankly at a computer screen or my phone. Was too hurt to do anything today, really.",need to not feel overwhelmed
"I spent today either staring blankly at a computer screen or my phone. Was too hurt to do anything today, really.",need to be able to cope with emotions
"I spent today either staring blankly at a computer screen or my phone. Was too hurt to do anything today, really.",need to get a grip on the situation
I want to tear my skin off and become a new person. I feel like I'm constricted,need to release emotional pain
I want to tear my skin off and become a new person. I feel like I'm constricted,need for transformation
I want to tear my skin off and become a new person. I feel like I'm constricted,need to break free
"My last love was my last love. Fuck this being in love isnt worth the pain when it ends. Im done trying to have proper relationships, when I next manage to get a job I'm just gonna start seeing prostitutes. Only female attention ive ever got any chance of having in the future anyway so fuck it.",need to not feel hurt again
"My last love was my last love. Fuck this being in love isnt worth the pain when it ends. Im done trying to have proper relationships, when I next manage to get a job I'm just gonna start seeing prostitutes. Only female attention ive ever got any chance of having in the future anyway so fuck it.",need for genuine relationships
"My last love was my last love. Fuck this being in love isnt worth the pain when it ends. Im done trying to have proper relationships, when I next manage to get a job I'm just gonna start seeing prostitutes. Only female attention ive ever got any chance of having in the future anyway so fuck it.",need for attention and validation
Anyone else hate social media stories?. Also lives bc they show other people having fun together just at the same time that you're sitting alone in a dark room wishing you weren't born. Also I see lots if things I wasn't invited to so that's always great,need to be included
Anyone else hate social media stories?. Also lives bc they show other people having fun together just at the same time that you're sitting alone in a dark room wishing you weren't born. Also I see lots if things I wasn't invited to so that's always great,need to feel heard in the group
Anyone else hate social media stories?. Also lives bc they show other people having fun together just at the same time that you're sitting alone in a dark room wishing you weren't born. Also I see lots if things I wasn't invited to so that's always great,need to not disappoint family
when you find out drugs and sex are boring as hell. wtf do you even look forward to?,need to have exciting experiences with others
when you find out drugs and sex are boring as hell. wtf do you even look forward to?,need to not feel numb or empty
when you find out drugs and sex are boring as hell. wtf do you even look forward to?,need to find something worth looking forward to
Does it help?. Does seeking a therapist or eating medicine helps?,need to seek professional help
Does it help?. Does seeking a therapist or eating medicine helps?,need to find relief through self-care
Does it help?. Does seeking a therapist or eating medicine helps?,need to validate feelings
"I saw a photo of myself from a year ago. I... can't believe how much the anxiety, stress, and sadness has aged my face. I look like a different person. When did this happen? Has this happened to you too?",need to come to terms with past
"I saw a photo of myself from a year ago. I... can't believe how much the anxiety, stress, and sadness has aged my face. I look like a different person. When did this happen? Has this happened to you too?",need to be recognized as changed
"I saw a photo of myself from a year ago. I... can't believe how much the anxiety, stress, and sadness has aged my face. I look like a different person. When did this happen? Has this happened to you too?",need to share a similar experience
how to know whether .... I am depressed because I don't do anything or I don't do anything because I am depressed ?,need to understand
how to know whether .... I am depressed because I don't do anything or I don't do anything because I am depressed ?,need to not be alone
how to know whether .... I am depressed because I don't do anything or I don't do anything because I am depressed ?,need to feel energized
"I swear if one more person tells me: You only have one life, there is no time to waste worrying, you have an entire future ahead I will kick him/her in the crotch.. I am just tired of being tired of the same soul-sucking routine engraved in my DNA.",need to not be bothered with people's advice
"I swear if one more person tells me: You only have one life, there is no time to waste worrying, you have an entire future ahead I will kick him/her in the crotch.. I am just tired of being tired of the same soul-sucking routine engraved in my DNA.",need for a change from monotony
"I swear if one more person tells me: You only have one life, there is no time to waste worrying, you have an entire future ahead I will kick him/her in the crotch.. I am just tired of being tired of the same soul-sucking routine engraved in my DNA.",need to express anger
Hey!. How is life treating you today?,need to feel heard
Hey!. How is life treating you today?,need to not worry the other person
Hey!. How is life treating you today?,need to have a good conversation
Another twelve hour graveyard shift. And I forgot to take my meds.. It's gonna be a long night &lt;/3,need to not forget important things
Another twelve hour graveyard shift. And I forgot to take my meds.. It's gonna be a long night &lt;/3,need to get through the shift without incident
Another twelve hour graveyard shift. And I forgot to take my meds.. It's gonna be a long night &lt;/3,need to stay focused
"There's someone for everybody. The problem is, I'm nobody.",need to be recognized
"There's someone for everybody. The problem is, I'm nobody.",need to feel important
